1000989594	internet_access:fee	yes
1000989594	internet_access	wlan
1000989594	name	Hotel Daniel
1000989594	class	hotel
1000989594	website	http://www.hotel-daniel.de/
1000989594	wheelchair	no
1001016422	class	pub
1001016422	name	City Pub
1001016423	class	pub
1001016423	name	Sowieso
1002248600	addr:city	München
1002248600	addr:country	DE
1002248600	addr:housenumber	18
1002248600	addr:postcode	80336
1002248600	addr:street	Herzog-Heinrich-Straße
1002248600	class	bank
1002248600	bic	GENODEM1GLS
1002248600	name	GLS Bank
1002248600	operator	GLS Gemeinschaftsbank eG
1002248600	phone	+49 89 5441620
1002248600	wheelchair	limited
100237913	addr:city	Unterhaching
100237913	addr:country	DE
100237913	addr:housenumber	107
100237913	addr:postcode	82008
100237913	addr:street	Münchner Straße
100237913	name	Kölbl
100237913	class	hotel
1002566333	addr:city	Ismaning
1002566333	addr:country	DE
1002566333	addr:housenumber	22
1002566333	addr:postcode	85737
1002566333	addr:street	Robert-Bürkle-Straße
1002566333	class	restaurant
1002566333	contact:fax	+49 89 96071873
1002566333	contact:mobile	+49 172 6040232
1002566333	contact:phone	+49 89 96071866
1002566333	name	Boxenstop
1002566333	opening_hours	Mo-Fr 09:00-16:00
1002566333	website	http://www.boxenstop-ismaning.de
1002566333	wheelchair	limited
100269010	addr:city	München
100269010	addr:country	DE
100269010	addr:housenumber	4
100269010	addr:postcode	81545
100269010	addr:street	Menterschwaigstraße
100269010	class	restaurant
100269010	contact:phone	+49 89 640732
100269010	contact:website	http://www.menterschwaige.de
100269010	cuisine	german
100269010	name	Gutshof Menterschwaige
100269010	operator	Isar Gastronomie GmbH
100269010	wheelchair	limited
1003125690	class	atm
1003125690	operator	Raiffeisenbank München
1003125690	wheelchair	yes
1003637472	class	cafe
1003637472	name	Saray
1003901482	class	recycling
1003901482	recycling:clothes	yes
1003901514	addr:city	München
1003901514	addr:country	DE
1003901514	addr:housenumber	29
1003901514	addr:postcode	80802
1003901514	addr:street	Biedersteiner Straße
